Learning to Program	Jak se naučit programovat	tutintro-cztutintro
by Alan Gauld	autor: Alan Gauld	tutintro-cztutintro
	překlad: Petr Přikryl *)	tutintro-cztutintro
	(Originální anglická verze.)	tutintro-cztutintro
Stop Press!	Nejnovější zprávy!	tutintro-cztutintro
The Web Site	Webové stránky	tutintro-cztutintro
Welcome to the new Learning to Program web tutor!	Vítejte na inovovaných stránkách učebnice Jak se naučit programovat.	tutintro-cztutintro
The site has been completely updated in content and now features VBScript and JavaScript as well as Python as example languages.	Obsah byl zcela přepracován. Kromě příkladů v jazyce Python zde nyní naleznete také příklady v jazycích VBScript a JavaScript.	tutintro-cztutintro
The explanations have been expanded too - almost 30% more material - and I'll be adding a whole set of new topics over the coming months focusing on practical applications of your programming skills.	Vysvětlení byla navíc rozšířena — přibylo téměř 30 % textu. V následujících měsících budu přidávat další témata. Zaměřím se na praktické používání programátorských dovedností.	tutintro-cztutintro
Oh, and if you still need to see the old version of the tutor, its still available here .	Starší verze této učebnice je stále dostupná zde .	tutintro-cztutintro
The Book	O knize	tutintro-cztutintro
Latest news on my book is that it has moved to print-on-demand.	Mezi poslední zprávy k mé knize patří to, že se přesunula do kategorie tisk na vyžádání.	tutintro-cztutintro
Basically this means that copies are only printed when firm orders are received from retailers.	Znamená to, že další výtisky vznikají pouze na základě pevných objednávek od prodejců.	tutintro-cztutintro
Logically this means you are less likely to see it in the shops but you can still place an order and it will be delivered, it just takes a little longer is all.	Logicky z toho vyplývá, že již na ni v obchodech nenarazíte tak často. Ale stále si ji ještě můžete objednat a bude vám zaslána. Bude to jen trvat o něco déle.	tutintro-cztutintro
The book is now significantly different to the new web site although the basics remain the same.	Knižní podoba se nyní od obsahu webové verze výrazně liší, ačkoliv základ zůstává shodný.	tutintro-cztutintro
It is stuck at Python version 1.5 and doesn't have the new material, although it has extra examples of its own plus several extra chapters compared to the web site.	Kniha zůstala u Pythonu verze 1.5 a neobsahuje nově přidaná témata. Na druhou stranu v ní naleznete víc příkladů a několik kapitol navíc.	tutintro-cztutintro
These include an additional case study for an OO games framework.	Je mezi nimi i případová studie objektově orientovaného prostředí (framework) pro psaní her [2] .	tutintro-cztutintro
