Decisions, Decisions	Větvení, aneb nechť padne rozhodnutí	tutbranch-cztutbranch
What will we cover?	O čem si budeme povídat?	tutbranch-cztutbranch
The 3rd programming construct - Branching	Třetí programová konstrukce — větvení.	tutbranch-cztutbranch
Single branches and multiple branches	Jednoduché a násobné větvení.	tutbranch-cztutbranch
Using Boolean expressions	Použití boolovských výrazů.	tutbranch-cztutbranch
The 3rd of our fundamental building blocks is branching or conditional statements.	Třetím z našich základních stavebních kamenů je větvení nebo také podmíněný příkaz.	tutbranch-cztutbranch
These are simply terms to describe the ability within our programs to execute one of several possible sequences of code(branches) depending on some condition.	Jde jednoduše o pojmy, které popisují schopnost provést jednu z několika možných posloupností příkazů (jednu z větví) a to v závislosti na nějaké podmínce.	tutbranch-cztutbranch
Back in the early days of Assembler programming the simplest branch was a JUMP instruction where the program literally jumped to a specified memory address, usually if the result of the previous instruction was zero.	Dříve, v době programování v assembleru, bylo větvení realizováno nejjednodušším možným způsobem — použitím instrukce JUMP. Program v tomto místě doslova skočil na určenou adresu v paměti. Obvykle to bylo podmíněno tím, že výsledkem předchozí instrukce byla nula.	tutbranch-cztutbranch
Amazingly complex programs were written with virtually no other form of condition possible - vindicating Dijkstra's statement about the minimum requirements for programming.	I když nebylo možné použít jiný způsob realizace podmíněného příkazu, byly takto napsány úžasně složité programy. To potvrzovalo správnost Dijkstrových tvrzení o minimálních požadavcích potřebných pro programování.	tutbranch-cztutbranch
When high level languages came along a new version of the JUMP instruction appeared called GOTO.	Když se objevily vyšší programovací jazyky, objevila se i nová podoba instrukce JUMP pod názvem GOTO.	tutbranch-cztutbranch
In fact QBASIC, which is still supplied on the CD ROM with older versions of Windows(pre XP), still provides GOTO and, if you have QBASIC installed, you can try it out by typing the following bit of code:	V jazyce QBASIC, který byl dodáván na instalačních CD ROM starších verzí Windows (před XP), lze GOTO stále používat. Pokud máte QBASIC nainstalován, můžete si vyzkoušet následující úsek kódu:	tutbranch-cztutbranch
10 PRINT "Starting at line 10" 20 J = 5 30 IF J	10 PRINT "Začínáme na řádku 10" 20 J = 5 30 IF J	tutbranch-cztutbranch
Notice how even in such a short program it takes a few seconds to figure out what's going to happen.	Povšimněte si, že dokonce i u tak krátkého programu trvá několik sekund, než přijdete na to co se stane.	tutbranch-cztutbranch
There is no structure to the code, you have to literally figure it out as you read it. In large programs it becomes impossible.	Kód nemá žádnou strukturu. Musíte si ji během čtení doslova vytvořit. U velkých programů to začne být prakticky nemožné.	tutbranch-cztutbranch
For that reason most modern programming languages, including Python, VBScript and JavaScript, either don't have a direct JUMP or GOTO statement or discourage you from using it.	Z tohoto důvodu většina moderních programovacích jazyků — včetně jazyků Python, VBScript a JavaScript — buď příkazy skoku JUMP nebo GOTO nemají, nebo vás od jejich používání odrazují.	tutbranch-cztutbranch
So what do we use instead?	Takže co bychom vlastně místo nich měli použít?	tutbranch-cztutbranch
The if statement	Příkaz if	tutbranch-cztutbranch
The most intuitively obvious conditional statement is the if, then, else construct.	Intuitivně nejzřejmější podobou podmíněného příkazu je konstrukce if, then, else.	tutbranch-cztutbranch
It follows the logic of English in that if some boolean condition (see below for more about this aspect of things) is true then a block of statements is executed, otherwise (or else ) a different block is executed.	Sleduje logiku anglické věty v tom smyslu, že if (jestliže) je nějaká boolovská podmínka splněna (o boolovských podmínkách se zmíníme dále v textu), then (pak) se provede blok příkazů, v opačném případě (nebo else (jinak)) se provede jiný blok.	tutbranch-cztutbranch
Python	Python	tutbranch-cztutbranch
It looks like this in Python:	V jazyce Python vypadá zápis takto:	tutbranch-cztutbranch
import sys # only to let us exit print "Starting here" j = 5 if j > 10: print "This is never printed" else: sys.exit()	import sys # jen proto, abychom mohli program ukončit print "Začínáme zde" j = 5 if j > 10: print "Toto se nikdy nevytiskne" else: sys.exit()	tutbranch-cztutbranch
Hopefully that is easier to read and understand than the previous GOTO example.	Takový zápis se ve srovnání s předchozím příkazem s GOTO lépe čte a je srozumitelnější.	tutbranch-cztutbranch
Of course we can put any test condition we like after the if, so long as it evaluates to True or False, i.e. a boolean value.	Za slovo if můžeme samozřejmě dosadit libovolnou podmínku testu za předpokladu, že ji lze vyhodnotit jako True nebo False — to znamená jako boolovskou hodnotu.	tutbranch-cztutbranch
Try changing the > to a < and see what happens.	Zkuste změnit operátor > na < a pozorujte, co se stane.	tutbranch-cztutbranch
VBScript	VBScript	tutbranch-cztutbranch
VBScript looks quite similar:	Zápis v jazyce VBScript vypadá podobně:	tutbranch-cztutbranch
<script language="VBScript"> MsgBox "Starting Here" DIM J J = 5 If J > 10 Then MsgBox "This is never printed" Else MsgBox "End of Program" End If </script>	<script type="text/vbscript"> MsgBox "Začínáme zde" Dim J J = 5 If J > 10 Then MsgBox "Toto se nikdy nevytiskne." Else MsgBox "Konec programu." End If </script>	tutbranch-cztutbranch
It's very nearly identical, isn't it?	Vždyť je to téměř shodné, že ano?	tutbranch-cztutbranch
The main difference is the use of End If to indicate the end of the construct.	Hlavní rozdíl spočívá v použití End If pro označení konce konstrukce.	tutbranch-cztutbranch
And JavaScript too	A ještě v JavaScript	tutbranch-cztutbranch
And of course JavaScript has an if statement too:	V jazyce JavaScript nalezneme samozřejmě příkaz if také:	tutbranch-cztutbranch
<script language="JavaScript"> var j; j = 5; if (j > 10){ document.write("This is never printed"); } else { document.write("End of program"); } </script>	<script type="text/javascript"> var j; j = 5; if (j > 10){ document.write("Toto se nikdy nevytiskne."); } else { document.write("Konec programu."); } </script>	tutbranch-cztutbranch
Notice that JavaScript uses curly braces to define the blocks of code inside the if part and the else part.	Povimněte si, že JavaScript používá uvnitř částí if a else pro vymezení bloku kódu složené závorky.	tutbranch-cztutbranch
Also the boolean test is contained in parentheses and there is no explicit keyword then used.	Boolovský test je rovněž uzavřen v závorkách. Klíčové slovo then se zde nepoužívá.	tutbranch-cztutbranch
On a point of style, the curly braces can be located anywhere, I have chosen to line them up as shown purely to emphasize the block structure.	Co se týká stylu, složené závorky můžeme umístit na libovolnou pozici. Rozhodl jsem se, že je zarovnám pod sebe prostě proto, abych zdůraznil strukturu bloku.	tutbranch-cztutbranch
Also if there is only a single line within the block (as we have here) the braces can be omitted entirely, they are only needed to group lines together into a single block.	Pokud se v bloku nachází jen jediný řádek (jako v našem případě), můžeme závorky úplně vynechat. Potřebujeme je jen v případech, kdy mají ohraničit skupinu řádků, které patří do jednoho bloku.	tutbranch-cztutbranch
Boolean Expressions You might remember that in the Raw Materials section we mentioned a Boolean type of data.	Boolovské výrazy Možná si ještě vzpomínáte, že jsme se v kapitole o datech zmínili o datovém typu boolean.	tutbranch-cztutbranch
